case,region,side,x_m,x_over_c,span_m,x_phys_used,Re_x_star_lam,Re_x_star_turb,re_tri,re_x_over_re_tri,w_tr,q_lam,q_turb,q_LF,q_Fluent,q_ratio,p_e,p_ratio,h_r_lam_minus_h_w,h_r_turb_minus_h_w,rho_star_lam_over_rho_e,mu_star_lam_over_mu_e,rho_star_turb_over_rho_e,mu_star_turb_over_mu_e,q_turb_over_q_lam,turb_branch_active,distance_from_transition
ma6_a5_h30km,windward_body,windward,0.7755386253977274,0.21250000000000002,0.025775674999999998,0.7650000000000001,1054829.0124665669,nan,2358499.7639233526,0.4472457570705303,0.0,35992.3530890418,161413.62562974743,35992.3530890418,43044.94437,0.8361575003945533,4131.288489221108,1.399222459609801,1335795.4661545379,1408471.1503240068,0.5691067603350168,1.480499251429425,0.5545199085617172,1.5058031986176326,4.484664429425463,0,nan
ma6_a5_h30km,windward_body,windward,0.8203554726136365,0.225,0.025775674999999998,0.81,1108225.0389140304,nan,2347037.195160286,0.47218043293018475,0.0,35450.47084078861,161614.348583937,35450.47084078861,42086.82883,0.8423174619304908,4186.207453654447,1.4325735364783945,1335993.532492961,1408606.7745399189,0.5708733032678992,1.4770084237842576,0.5562630189320917,1.502210904980706,4.5588773505932325,0,nan
ma6_a5_h30km,windward_body,windward,0.8651723198295456,0.23750000000000002,0.025775674999999998,0.8550000000000001,1173079.391813064,nan,2344537.2136444403,0.5003458187765694,0.0,34528.46493102115,160175.77951800564,34528.46493102115,40748.64233,0.8473525240766261,4198.325328297895,1.4480351481168654,1336036.98560823,1408636.528685597,0.5712605409562915,1.4762462122678444,0.5566451383469884,1.501426530227286,4.63894875830695,0,nan
ma6_a5_h30km,windward_body,windward,0.9099891670454546,0.25,0.025775674999999998,0.9,1222916.6506756851,nan,2347309.1656902614,0.5209866124797703,0.0,33739.54135545241,158420.45071305687,33739.54135545241,40102.31668,0.8413364650396654,4184.8922115403375,1.4479268614712977,1335988.8108039245,1408603.5414040992,0.5708312184712105,1.4770913253427491,0.5562214907831671,1.5022962169296035,4.695394316243592,0,nan
ma6_a5_h30km,windward_body,windward,0.9548060142613638,0.2625,0.025775674999999998,0.9450000000000001,1276391.2405938872,nan,2347169.7303954633,0.5438001453686241,0.0,33029.05392315153,157091.52452787734,33029.05392315153,38633.92203,0.8549236574403142,4185.566442235929,1.4494783165982525,1335991.2314090545,1408605.1988925722,0.5708527936895675,1.4770488233895083,0.5562427806204235,1.5022524792224106,4.7561617990445955,0,nan
ma6_a5_h30km,windward_body,windward,0.9996228614772729,0.275,0.025775674999999998,0.9900000000000001,1341977.269300266,nan,2344035.105682756,0.572507325528891,0.0,32296.115872753468,156000.3992045757,32296.115872753468,37620.01338,0.8584823069181341,4200.765250660535,1.4597918661387999,1336045.7240128582,1408642.5122327525,0.5713384004850813,1.4760930887723736,0.5567219695700766,1.5012689539104214,4.830314574644718,0,nan
ma6_a5_h30km,windward_body,windward,1.0444397086931818,0.28750000000000003,0.025775674999999998,1.0350000000000001,1393485.2084745353,nan,2339144.1162315966,0.5957243928687324,0.0,31823.358676549677,155570.10550887173,31823.358676549677,37197.77992,0.8555176880177013,4224.6398805667195,1.4718690789665607,1336131.0385655898,1408700.9306364665,0.5720983134664702,1.4746008714049856,0.5574718602025043,1.4997333365236534,4.8885507997466595,0,nan
ma6_a5_h30km,windward_body,windward,1.178890250340909,0.325,0.025775674999999998,1.1700000000000002,1549551.3662571083,nan,2342399.2339240285,0.6615231698403831,0.0,30096.28172547303,151818.9419752334,30096.28172547303,35496.11901,0.8478752766462799,4208.728765548164,1.4796579520335007,1336074.2195606884,1408662.0243132114,0.57159226479419,1.4755941244129525,0.5569724828921999,1.5007554788475337,5.044441813778484,0,nan
ma6_a5_h30km,true_nose_cap,windward,0.09057761560901698,0.0,0.051551349999999996,0.0,14551.439328117574,nan,2349013.553795091,0.006194702156830095,0.0,308864.780531633,383698.21058109315,166524.86835205034,99136.84356,1.6797475325232187,4176.663418871034,1.01544941021874,1335959.2455402291,1408583.2968449339,0.5705676701501133,1.4776107703858052,0.5559614301336926,1.502830764193368,1.2422854102065417,0,nan
ma6_a5_h30km,true_nose_cap,windward,0.13443289541390427,0.0125,0.051551349999999996,0.045000000000000005,55146.00157433835,nan,2347867.7033385662,0.023487695450609556,0.0,158810.27054692133,294274.01155347016,158810.27054692133,74326.3735,2.1366610944219055,4182.193010512579,1.294607254757586,1335979.1174133292,1408596.9039385437,0.5707448162601235,1.4772615662758488,0.5561362316415733,1.502471407561961,1.8529910599612345,0,nan
