point_id,side,side_id,mach,alpha_deg,altitude_km,Tw_K,x_m,span_m,xc,yb,valid_mask,q_low_W_m2,T_e_K,p_e_Pa,rho_e_kg_m3,ma_e,v_e_m_s,mu_e_Pa_s,w_tr,re_edge,re_tri
95,leeward,-1,8.3,2.2,56.7,300.0,0.6410880837500001,0.025775674999999998,0.17500000000000002,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,78117.73813597596,3364997.9672736875
96,leeward,-1,8.3,2.2,56.7,300.0,0.6859049309659092,0.025775674999999998,0.1875,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,85806.07832440439,3293194.6245216783
97,leeward,-1,8.3,2.2,56.7,300.0,0.7307217781818183,0.025775674999999998,0.2,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,91167.07916984627,3300769.3007814586
98,leeward,-1,8.3,2.2,56.7,300.0,0.7755386253977274,0.025775674999999998,0.21250000000000002,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,97247.34670113648,3290507.6859215056
99,leeward,-1,8.3,2.2,56.7,300.0,0.8203554726136365,0.025775674999999998,0.225,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,104608.6089365368,3233615.384173441
100,leeward,-1,8.3,2.2,56.7,300.0,0.8651723198295456,0.025775674999999998,0.23750000000000002,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,111018.13852088669,3220262.769163562
101,leeward,-1,8.3,2.2,56.7,300.0,0.9099891670454546,0.025775674999999998,0.25,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,115929.41522232634,3234733.891661844
102,leeward,-1,8.3,2.2,56.7,300.0,0.9548060142613638,0.025775674999999998,0.2625,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,121540.5459700421,3233509.419860707
103,leeward,-1,8.3,2.2,56.7,300.0,0.9996228614772729,0.025775674999999998,0.275,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,128202.80788544264,3216789.054856701
104,leeward,-1,8.3,2.2,56.7,300.0,1.0444397086931818,0.025775674999999998,0.28750000000000003,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,135017.51961640318,3189456.589040926
