representative_case,applies_to_phase9_cases,sheet,canonical_index,grid_j,grid_i,x_over_c,y_over_b,x_m,span_m,z_m,failure_reason,projected_candidate_triangle_ids,projected_candidate_max_abs_nz,current_sampler_upper_triangle_id,current_sampler_lower_triangle_id,nearest_any_stl_triangle_id,distance_to_any_stl_projected_support_m,nearest_eligible_skin_triangle_id,nearest_eligible_skin_triangle_sheet_code,distance_to_eligible_skin_support_m,nearest_same_sheet_triangle_id,distance_to_same_sheet_support_m,nearest_outline_segment,outline_region,distance_to_outline_boundary_m,expected_domain,point_classification,representation_classification,unknown
ma8_a10_h40km,12,upper,2916,36,0,0,0.90000000000000002,3.0142751046299749,0.92792429999999992,,outside_stl_support,,,,,1965,0.00017370146169847747,5748,2,0.0054469301732181915,1975,0.0054596919747576444,182,LE,0,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2917,36,1,0.012500000000000001,0.90000000000000002,3.0215841658221003,0.92792429999999992,,outside_stl_support,1973;5762,0.25531959950063088,,,1973,0,5748,2,0.0041857906786166446,1975,0.0041984813358195766,182,LE,0.0012692042569240464,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2918,36,2,0.025000000000000001,0.90000000000000002,3.0288932270142257,0.92792429999999992,,outside_stl_support,1966;5758,0.33304844071967621,,,1966,0,5748,2,0.0029246511840151745,1975,0.0029372706968815079,182,LE,0.0025384085138480607,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2919,36,3,0.037500000000000006,0.90000000000000002,3.0362022882063511,0.92792429999999992,,outside_stl_support,1977;5759,0.4222343264194478,,,1977,0,5748,2,0.0016635116894137046,1975,0.0016760600579434394,182,LE,0.0038076127707721069,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2920,36,4,0.050000000000000003,0.90000000000000002,3.043511349398476,0.92792429999999992,,outside_stl_support,1976;5760,0.42303523083541805,,,1976,0,5748,2,0.00040237219481223445,1975,0.00041484941900558968,182,LE,0.0050768170276961214,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2997,37,0,0,0.92500000000000004,3.1604563284724811,0.95369997499999992,,outside_stl_support,,,,,1965,0.00017368813203147949,5748,2,0.0056132238509768425,1975,0.0056245188150691504,182,LE,0,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2998,37,1,0.012500000000000001,0.92500000000000004,3.165938124366575,0.95369997499999992,,outside_stl_support,1973;5762,0.25531959950063088,,,1973,0,5748,2,0.0046673692300256541,1975,0.0046786108358657635,182,LE,0.00095190319269301067,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,2999,37,2,0.025000000000000001,0.92500000000000004,3.1714199202606692,0.95369997499999992,,outside_stl_support,1973;5763,0.25531959950063088,,,1973,0,5748,2,0.0037215146090745438,1975,0.0037327028566621571,182,LE,0.0019038063853860534,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,3000,37,3,0.037500000000000006,0.92500000000000004,3.176901716154763,0.95369997499999992,,outside_stl_support,1966;5758,0.33304844071967621,,,1966,0,5748,2,0.0027756599881233563,1975,0.0027867948774586608,182,LE,0.0028557095780790643,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,3001,37,4,0.050000000000000003,0.92500000000000004,3.1823835120488573,0.95369997499999992,,outside_stl_support,1977;5760,0.41752896878568613,,,1977,0,5748,2,0.0018298053671722454,1975,0.001840886898255164,182,LE,0.0038076127707721069,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
