case,idx,x_m,span_m,xc,region,q_w,q_lam_w,q_turb_w,w_tr,re_edge,re_x_star,re_tri,re_x_over_re_tri,T_e_w,p_e_w,rho_e_w,h_r_lam_w,h_r_turb_w,h_star_lam_w,q_Fluent_matched,p_Fluent_matched,q_ratio,p_ratio,dist,dx,dspan
ma6_a5_h30km,137,2.5233956668181823,0.025775674999999998,0.7000000000000001,aft_body,129817.2356852994,20259.01928424608,129817.2356852994,1.0,8857190.317232352,3435465.9240545817,2339656.135867204,1.4683636075355198,346.3330879137739,4222.131358682208,0.042477197827392364,1637622.090730129,1710194.8036833545,608484.9908995645,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,138,2.5682125140340912,0.025775674999999998,0.7125,aft_body,129358.50606199271,20080.522242863375,129358.50606199271,1.0,9015354.430040069,3496813.52984127,2339656.135867204,1.4945843862415107,346.3330879137739,4222.131358682208,0.042477197827392364,1637622.090730129,1710194.8036833545,608484.9908995645,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,139,2.6130293612500006,0.025775674999999998,0.7250000000000001,aft_body,128909.33373282102,19906.661635003187,128909.33373282102,1.0,9173518.542847794,3558161.13562796,2339656.135867204,1.5208051649475025,346.3330879137739,4222.131358682208,0.042477197827392364,1637622.090730129,1710194.8036833545,608484.9908995645,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,140,2.6578462084659096,0.025775674999999998,0.7375,aft_body,128599.17488717758,19806.489119851016,128599.17488717758,1.0,9259811.014280468,3590583.9544919757,2340265.370182632,1.5342635925992316,346.26318240714323,4219.149358882745,0.04245576657640651,1637611.4490692483,1710187.516897905,608462.9783246047,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,141,2.7026630556818185,0.025775674999999998,0.75,aft_body,128167.62429616509,19640.74152708761,128167.62429616509,1.0,9416756.96367505,3651441.3096528556,2340265.370182632,1.5602680602704047,346.26318240714323,4219.149358882745,0.04245576657640651,1637611.4490692483,1710187.516897905,608462.9783246047,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,142,2.7474799028977275,0.025775674999999998,0.7625000000000001,aft_body,127744.61960615912,19479.08658444888,127744.61960615912,1.0,9573702.913069636,3712298.664813737,2340265.370182632,1.5862725279415781,346.26318240714323,4219.149358882745,0.04245576657640651,1637611.4490692483,1710187.516897905,608462.9783246047,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,143,2.7922967501136364,0.025775674999999998,0.775,aft_body,127223.1918304016,19282.48889828804,127223.1918304016,1.0,9769327.572456246,3788062.1016304255,2340316.0776171307,1.6186113225728744,346.25736569927494,4218.901300012528,0.042453983614105566,1637610.5635963357,1710186.9105779699,608461.1466989699,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,144,2.837113597329546,0.025775674999999998,0.7875000000000001,aft_body,126844.16721033532,19134.785679340755,126844.16721033532,1.0,9922429.636540446,3847692.0019030576,2340172.5123768784,1.644191606197021,346.2738348801309,4219.603670424655,0.04245903193469945,1637613.070686923,1710188.6272866128,608466.3326863919,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,145,2.8819304445454548,0.025775674999999998,0.8,aft_body,126445.27827971379,18984.70661177091,126445.27827971379,1.0,10079928.519660136,3908766.478123741,2340172.5123768784,1.6702898856604658,346.2738348801309,4219.603670424655,0.04245903193469945,1637613.070686923,1710188.6272866128,608466.3326863919,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,146,2.9267472917613637,0.025775674999999998,0.8125,aft_body,126039.1823689542,18837.281121091575,126039.1823689542,1.0,10236447.888901673,3969169.426159428,2340325.9873660845,1.695989980706287,346.25622896981224,4218.85282435335,0.042453635184151864,1637610.390552894,1710186.7920879663,608460.7887537419,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,147,2.971564138977273,0.025775674999999998,0.8250000000000001,aft_body,125681.21167319265,18699.589573750032,125681.21167319265,1.0,10389496.906327968,4028785.5964425593,2340185.1835582084,1.7215670045038338,346.2723812166446,4219.541671860457,0.042458586326745276,1637612.8493968612,1710188.4757601528,608465.8749416732,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,148,3.016380986193182,0.025775674999999998,0.8375,aft_body,125303.78379946914,18559.51576944969,125303.78379946914,1.0,10546913.526120815,4089827.8024492636,2340185.1835582084,1.7476513530569218,346.2723812166446,4219.541671860457,0.042458586326745276,1637612.8493968612,1710188.4757601528,608465.8749416732,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,149,3.0611978334090915,0.025775674999999998,0.8500000000000001,aft_body,124697.48626729715,18330.89328121315,124697.48626729715,1.0,10813798.225738296,4193655.580200244,2340017.557829602,1.7921470572596543,346.2916128407308,4220.361950840472,0.042464481841582406,1637615.7770120315,1710190.4804193752,608471.9307960286,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,150,3.1060146806250004,0.025775674999999998,0.8625,aft_body,124333.9305551974,18197.57592438186,124333.9305551974,1.0,10972824.670234451,4255326.985791425,2340017.557829602,1.8185021610428849,346.2916128407308,4220.361950840472,0.042464481841582406,1637615.7770120315,1710190.4804193752,608471.9307960286,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,151,3.1508315278409094,0.025775674999999998,0.875,aft_body,123976.64323648132,18067.125669541874,123976.64323648132,1.0,11131851.1147306,4316998.391382605,2340017.557829602,1.8448572648261148,346.2916128407308,4220.361950840472,0.042464481841582406,1637615.7770120315,1710190.4804193752,608471.9307960286,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,152,3.1956483750568188,0.025775674999999998,0.8875000000000001,aft_body,123625.42897028306,17939.441202663515,123625.42897028306,1.0,11290877.559226753,4378669.796973785,2340017.557829602,1.8712123686093451,346.2916128407308,4220.361950840472,0.042464481841582406,1637615.7770120315,1710190.4804193752,608471.9307960286,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,153,3.2404652222727277,0.025775674999999998,0.9,aft_body,123280.10114654242,17814.426152049466,123280.10114654242,1.0,11449904.003722902,4440341.202564966,2340017.557829602,1.8975674723925757,346.2916128407308,4220.361950840472,0.042464481841582406,1637615.7770120315,1710190.4804193752,608471.9307960286,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,154,3.2852820694886367,0.025775674999999998,0.9125000000000001,aft_body,122940.48138088323,17691.988782609795,122940.48138088323,1.0,11608930.448219053,4502012.608156146,2340017.557829602,1.9239225761758056,346.2916128407308,4220.361950840472,0.042464481841582406,1637615.7770120315,1710190.4804193752,608471.9307960286,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,155,3.3300989167045456,0.025775674999999998,0.925,aft_body,122526.8247421576,17571.313286758308,122526.8247421576,1.0,11755099.013271067,4556546.064772317,2341003.5926373852,1.9464071217587888,346.17852471690264,4215.540081055044,0.04242982136849868,1637598.5616949368,1710178.6923795638,608436.3204282225,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,156,3.3749157639204546,0.025775674999999998,0.9375,aft_body,122198.32986683853,17453.77809949631,122198.32986683853,1.0,11913951.702639597,4618121.011593565,2341003.5926373852,1.9727099207014753,346.17852471690264,4215.540081055044,0.04242982136849868,1637598.5616949368,1710178.6923795638,608436.3204282225,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,157,3.419732611136364,0.025775674999999998,0.9500000000000001,aft_body,121875.04933077705,17338.57038436206,121875.04933077705,1.0,12072804.392008126,4679695.958414814,2341003.5926373852,1.9990127196441625,346.17852471690264,4215.540081055044,0.04242982136849868,1637598.5616949368,1710178.6923795638,608436.3204282225,nan,nan,nan,nan,nan,nan,nan
ma6_a5_h30km,158,3.464549458352273,0.025775674999999998,0.9625,aft_body,121556.83336935709,17225.614326022936,121556.83336935709,1.0,12231657.081376651,4741270.905236061,2341003.5926373852,2.025315518586848,346.17852471690264,4215.540081055044,0.04242982136849868,1637598.5616949368,1710178.6923795638,608436.3204282225,nan,nan,nan,nan,nan,nan,nan
