case,idx,x_m,span_m,x_over_c,y_over_b,phi_rad,cp_low,cp_fluent,p_e_low,p_wall_fluent,p_e_over_p_wall,q_low,q_fluent,q_ratio,q_lam_low,rho_e,ma_e
ma6_a5_h30km,2120,2.275272301428015,0.67016755,0.17500000000000002,0.65,0.30084931415911775,0.09382704882451844,0.020777846040594926,3939.4262756544736,1784.949345,2.2070241302306948,61135.34016066948,54981.19177,1.1119318842053083,61135.34016066948,0.04042562492438336,4.729496528776733
ma6_a5_h30km,2121,2.2953287817094092,0.67016755,0.1875,0.65,0.28551759033375684,0.08850282438576329,0.05343050944802423,3782.326026256245,2748.941709,1.3759207821224282,58550.92459660317,81473.57785,0.7186492374791806,58550.92459660317,0.03926742699355104,4.76321478962175
ma6_a5_h30km,2122,2.315385261990803,0.67016755,0.2,0.65,0.28136638767354416,0.08706414087705133,nan,3739.875235418319,nan,nan,56289.73705589844,nan,nan,56289.73705589844,0.03895212234889396,4.772593546919411
ma6_a5_h30km,2123,2.3354417422721965,0.67016755,0.21250000000000002,0.65,0.28136638767354416,0.08706414087705133,nan,3739.875235418319,nan,nan,54609.06623993268,nan,nan,54609.06623993268,0.03895212234889396,4.772593546919411
ma6_a5_h30km,2124,2.35549822255359,0.67016755,0.225,0.65,0.28048487182422194,0.08675880787463403,0.01557090957410363,3730.8658686305275,1631.226908,2.2871532159831975,52787.146266448406,49060.85899,1.0759523447644472,52787.146266448406,0.03888507373063818,4.774599229434977
ma6_a5_h30km,2125,2.375554702834984,0.67016755,0.23750000000000002,0.65,0.27674216095941434,0.08546314081601457,0.04240850802044864,3692.6350201027035,2423.543285,1.5236513591308534,51226.51206664621,70449.75947,0.7271353721010256,51226.51206664621,0.0386000393231922,4.78317056223695
ma6_a5_h30km,2126,2.3956111831163778,0.67016755,0.25,0.65,0.2699045986612318,0.08309917992633964,nan,3622.8823547882375,nan,nan,49707.518035322595,nan,nan,49707.518035322595,0.0380778066067442,4.799066293577865
ma6_a5_h30km,2127,2.4156676633977714,0.67016755,0.2625,0.65,0.2727793884812937,0.08409258265696735,nan,3652.19438295867,nan,nan,48381.08534841194,nan,nan,48381.08534841194,0.03829761030743192,4.792345363521553
ma6_a5_h30km,2128,2.435724143679165,0.67016755,0.275,0.65,0.2655864494195144,0.0816084473392055,0.012960859829404857,3578.8957678366933,1554.171386,2.3027677642732596,47020.557813133826,47752.20529,0.9846782473726006,47020.557813133826,0.03774700585927444,4.809266222091784
ma6_a5_h30km,2129,2.4557806239605586,0.67016755,0.28750000000000003,0.65,0.2567771486736011,0.07857292810897319,0.03555566297907714,3489.327637565665,2221.229305,1.570899334756285,45704.4221230588,66753.2305,0.6846773074609295,45704.4221230588,0.03706979220011908,4.830473819621994
ma6_a5_h30km,2130,2.4758371042419527,0.67016755,0.30000000000000004,0.65,0.2567771486736011,0.07857292810897319,nan,3489.327637565665,nan,nan,44742.115989329686,nan,nan,44742.115989329686,0.03706979220011908,4.830473819621994
ma6_a5_h30km,2131,2.4958935845233463,0.67016755,0.3125,0.65,0.2567771486736011,0.07857292810897319,nan,3489.327637565665,nan,nan,43838.14167451133,nan,nan,43838.14167451133,0.03706979220011908,4.830473819621994
ma6_a5_h30km,2132,2.51595006480474,0.67016755,0.325,0.65,0.2588709954839892,0.07929371018152599,0.044561735425580284,3510.595532009704,2487.112212,1.411514733863445,42743.791895854185,62306.00828,0.6860300166199989,42743.791895854185,0.03723104138499797,4.825383716426455
ma6_a5_h30km,2133,2.5360065450861335,0.67016755,0.3375,0.65,0.2903066206099771,0.09016416969923338,0.010294768897524743,3831.3468303348486,1475.461381,2.596711021835175,43196.890851970835,47646.45666,0.9066128707160578,43196.890851970835,0.03963027561674174,4.752528973218241
ma6_a5_h30km,2134,2.5560630253675276,0.67016755,0.35000000000000003,0.65,0.2903066206099771,0.09016416969923338,nan,3831.3468303348486,nan,nan,42418.504739121774,nan,nan,42418.504739121774,0.03963027561674174,4.752528973218241
ma6_a5_h30km,2135,2.5761195056489212,0.67016755,0.36250000000000004,0.65,0.2903066206099771,0.09016416969923338,0.048212098358577746,3831.3468303348486,2594.880511,1.4765022181535237,41680.735333576195,72944.85788,0.5714005969021733,41680.735333576195,0.03963027561674174,4.752528973218241
ma6_a5_h30km,2136,2.596175985930315,0.67016755,0.375,0.65,0.2903066206099771,0.09016416969923338,0.009998887154095748,3831.3468303348486,1466.726175,2.6121759437032264,40980.16887897574,45447.96267,0.9016942998421041,40980.16887897574,0.03963027561674174,4.752528973218241
ma6_a5_h30km,2137,2.6162324662117085,0.67016755,0.3875,0.65,0.2902369536452161,0.09013998991271718,nan,3830.633364827189,nan,nan,40308.81926976737,nan,nan,40308.81926976737,0.03962500414205695,4.75268340644318
ma6_a5_h30km,2138,2.636288946493102,0.67016755,0.4,0.65,0.2902369536452161,0.09013998991271718,0.009555469956819574,3830.633364827189,1453.635335,2.635209307723102,39673.99504028342,45119.34249,0.8793123492230974,39673.99504028342,0.03962500414205695,4.75268340644318
ma6_a5_h30km,2139,2.6563454267744957,0.67016755,0.41250000000000003,0.65,0.29028111547481106,0.09015531741901868,0.009555469956819574,3831.085628831142,1453.635335,2.6355204338997043,39069.336300993884,45119.34249,0.8659110293917291,39069.336300993884,0.03962834574924519,4.752585507899025
ma6_a5_h30km,2140,2.6764019070558898,0.67016755,0.42500000000000004,0.65,0.29078317313073276,0.09032957918681325,nan,3836.2275170997564,nan,nan,38526.78798600602,nan,nan,38526.78798600602,0.03966632929068822,4.75147338013662
ma6_a5_h30km,2141,2.6964583873372834,0.67016755,0.4375,0.65,0.29078317313073276,0.09032957918681325,0.04962520487714674,3836.2275170997564,2636.599126,1.4549908172501442,37972.416810715324,74863.85496,0.507219629967013,37972.416810715324,0.03966632929068822,4.75147338013662
ma6_a5_h30km,2142,2.716514867618677,0.67016755,0.45,0.65,0.29289843931279136,0.09106397035440009,0.00999207471806159,3857.8969709161556,1466.525054,2.630638297241225,37748.341508170146,44581.24217,0.8467314877460299,37748.341508170146,0.03982624378819995,4.746804672373255
ma6_a5_h30km,2143,2.7365713479000706,0.67016755,0.4625,0.65,0.29289843931279136,0.09106397035440009,nan,3857.8969709161556,nan,nan,37234.734698399734,nan,nan,37234.734698399734,0.03982624378819995,4.746804672373255
ma6_a5_h30km,2144,2.7566278281814647,0.67016755,0.47500000000000003,0.65,0.2934913965714277,0.0912698919190867,0.009743530599958899,3863.973035052983,1459.187379,2.6480307400280654,36781.60125057957,44808.23302,0.820867032051057,36781.60125057957,0.03987103732730798,4.745500806964186
ma6_a5_h30km,2145,2.7766843084628583,0.67016755,0.48750000000000004,0.65,0.2934913965714277,0.0912698919190867,0.05000680836548133,3863.973035052983,2647.865063,1.4592786804155145,36306.980059696296,73431.93131,0.4944304121108141,36306.980059696296,0.03987103732730798,4.745500806964186
ma6_a5_h30km,2146,2.796740788744252,0.67016755,0.5,0.65,0.2931239257316454,0.09114227423149912,nan,3860.2074592816653,nan,nan,35842.487897351384,nan,nan,35842.487897351384,0.03984327938387844,4.746308594917103
ma6_a5_h30km,2147,2.8167972690256455,0.67016755,0.5125000000000001,0.65,0.2931239257316454,0.09114227423149912,0.009967823148969476,3860.2074592816653,1465.809084,2.6334994791734183,35402.68611376869,44340.22807,0.7984326570868874,35402.68611376869,0.03984327938387844,4.746308594917103
ma6_a5_h30km,2148,2.836853749307039,0.67016755,0.525,0.65,0.29370574086304196,0.09134433501966827,0.009967823148969476,3866.169604675821,1465.809084,2.637566956622723,35016.460768166304,44340.22807,0.7897221618455763,35016.460768166304,0.03988722577190622,4.74503000464781
ma6_a5_h30km,2149,2.8569102295884328,0.67016755,0.5375,0.65,0.29370574086304196,0.09134433501966827,0.010011989985879065,3866.169604675821,1467.113005,2.6352227752734163,34606.897430062156,45185.52861,0.7658845319428953,34606.897430062156,0.03988722577190622,4.74503000464781
ma6_a5_h30km,2150,2.876966709869827,0.67016755,0.55,0.65,0.29370574086304196,0.09134433501966827,0.051501732470813626,3866.169604675821,2691.999148,1.436170441416433,34211.37704125705,72185.13404,0.47393937126028574,34211.37704125705,0.03988722577190622,4.74503000464781
ma6_a5_h30km,2151,2.8970231901512205,0.67016755,0.5625,0.65,0.2956625866990237,0.09202410124735548,nan,3886.2272572279594,nan,nan,34097.43993884258,nan,nan,34097.43993884258,0.04003492686813439,4.740744641520903
ma6_a5_h30km,2152,2.917079670432614,0.67016755,0.5750000000000001,0.65,0.2956625866990237,0.09202410124735548,0.009873174115497027,3886.2272572279594,1463.014796,2.6563143912510094,33724.779132687654,44134.54777,0.7641355998126195,33724.779132687654,0.04003492686813439,4.740744641520903
ma6_a5_h30km,2153,2.9371361507140077,0.67016755,0.5875,0.65,0.29566258669902357,0.09202410124735544,0.009873174115497027,3886.2272572279585,1463.014796,2.6563143912510085,33364.075937041,44134.54777,0.7559627915734505,33364.075937041,0.040034926868134375,4.740744641520903
